task,model,condition,trial,status,typecheck,visible,hidden,hiddenSummary,costUsd,turns,wallS,isError,terminalReason,category,difficulty,maxTurns,capHit,stopHookRuns,stopHookBlocks,planNextCalls,planVerifyCalls,gitCommits,verifiedSteps,failedSteps,blockedSteps,incompleteSteps,permissionDenials
welcome-mail-job,claude-haiku-4-5-20251001,shipped,3,PASS,pass,pass,pass,3 pass 0 fail,0.9588089000000001,83,344,false,completed,feat,H,,false,,0,0,0,0,0,0,0,0,0
welcome-mail-job,claude-opus-5,bare,1,PASS,pass,pass,pass,3 pass 0 fail,7.403930500000002,104,584,false,completed,feat,H,,false,,0,0,0,0,0,0,0,0,4
welcome-mail-job,claude-opus-5,shipped,2,PASS,pass,pass,pass,3 pass 0 fail,9.011241500000004,106,678,false,completed,feat,H,,false,,0,0,0,0,0,0,0,0,5
auto-excerpt,claude-haiku-4-5-20251001,shipped,1,PASS,pass,pass,pass,10 pass 0 fail,0.5737029000000001,45,301,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-opus-5,bare,3,PASS,pass,pass,pass,10 pass 0 fail,1.4695399999999996,33,180,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
auto-excerpt,claude-opus-5,shipped,1,PASS,pass,pass,pass,10 pass 0 fail,2.1233375000000008,41,172,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-opus-5,bare,2,PASS,pass,pass,pass,10 pass 0 fail,1.314171,32,170,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
auto-excerpt,claude-haiku-4-5-20251001,bare,2,PASS,pass,pass,pass,10 pass 0 fail,0.44064450000000005,46,237,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-sonnet-5,bare,2,PASS,pass,pass,pass,10 pass 0 fail,1.5121835,51,231,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,2
auto-excerpt,claude-sonnet-5,shipped,3,PASS,pass,pass,pass,10 pass 0 fail,1.2894195000000002,37,171,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-haiku-4-5-20251001,bare,3,PASS,pass,pass,pass,10 pass 0 fail,0.45373100000000016,54,265,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
